VMEP.ACU1.Zone Air Temp
VMEP.AHU.AHU02.RF.VFD:OK.FAULT
VMEP.AHU.AHU02.RF.VFD:POWER
VMEP.AHU.AHU02.RF.VFD:SEL HND.AUTO
VMEP.AHU.AHU02.RMAVG.Zone Air Temp
VMEP.AHU.AHU02.Run Status
VMEP.AHU.AHU02.Run Status Sum
VMEP.AHU.AHU02.SAFVAVG
VMEP.AHU.AHU02.SAO
VMEP.AHU.AHU02.SF.Proof
VMEP.AHU.AHU02.SF.Speed
VMEP.AHU.AHU02.SF.SPEEDO
VMEP.AHU.AHU02.SF.Start Stop
VMEP.AHU.AHU02.SF.VFD:OK.FAULT
VMEP.AHU.AHU02.SF.VFD:POWER
VMEP.AHU.AHU02.SF.VFD:SEL HND.AUTO
VMEP.AHU.AHU02.SSD
VMEP.AHU.AHU02.SSO
VMEP.AHU.AHU02.Supply Air Flow
VMEP.AHU.AHU02.Supply Air Temp
VMEP.AHU.AHU02.Supply Air Temp Setpoint
VMEP.AHU.AHU02.Supply Static Pressure
VMEP.AHU.AHU02.Supply Static Pressure Setpoint
VMEP.AHU.AHU02.VAVHCO
VMEP.AHU.AHU02.WUM
VMEP.CF1_2.Proof
VMEP.CF3_4.Proof
VMEP.CHW.1ST STAGE
VMEP.CHW.2ND STAGE
VMEP.CHW.BAVGFLOW
VMEP.CHW.BCHWDT
VMEP.CHW.BCHWSO
VMEP.CHW.BCHWUSAGE
VMEP.CHW.BLDGDPAVG
VMEP.CHW.BLDGDPO
VMEP.CHW.BLDGDPS
VMEP.CHW.BLDGDPS HI
VMEP.CHW.BLDGDPS LO
VMEP.CHW.Bridge Level Bypass Flow
VMEP.CHW.BRIDGEO
VMEP.CHW.BTONS
VMEP.CHW.Building Chilled Water Flow
VMEP.CHW.Building Chilled Water Return Temp
VMEP.CHW.Building Chilled Water Supply Temp
VMEP.CHW.Building Chilled Water Supply Temp Setpoint
VMEP.CHW.Building Diff Pressure
VMEP.CHW.CCO
VMEP.CHW.CCO ENABLE
VMEP.CHW.CCO HI
VMEP.CHW.CCO LO
VMEP.CHW.CHW STG 1
VMEP.CHW.CHW STG 2
VMEP.CHW.ECONOMIZERO
VMEP.CHW.Enable
VMEP.CHW.LCHWDT
VMEP.CHW.LCHWUSAGE
VMEP.CHW.Loop Average Flow
VMEP.CHW.Loop Chilled Water Flow
VMEP.CHW.Loop Chilled Water Return Temp
VMEP.CHW.Loop Chilled Water Supply Temp
VMEP.CHW.LTONS
VMEP.CHW.OA DISABLESP
VMEP.CHW.OA ENABLE
VMEP.CHW.OA ENABLESP
VMEP.CHW.PUMP.VFD:OK.FAULT
VMEP.CHW.PUMP.VFD:POWER
VMEP.CHW.PUMP.VFD:SEL HND.AUTO
VMEP.CHW.PUMP1.Speed
VMEP.CHW.PUMP1.SPEEDO
VMEP.CHW.PUMP1.Start Stop
VMEP.EF.EF01.EAFLOW
VMEP.EF.EF01.ESO
VMEP.EF.EF01.ESS
VMEP.EF.EF01.Exhaust Air Temp
VMEP.EF.EF01.Exhaust Static Pressure
VMEP.EF.EF01.RM113:OCC.UNOCC
VMEP.EF.EF01.RM115:OCC.UNOCC
VMEP.EF.EF01.RM118:OCC.UNOCC
VMEP.EF.EF01.RM122:OCC.UNOCC
VMEP.EF.EF01.RM124:OCC.UNOCC
VMEP.EF.EF01.RM125:OCC.UNOCC
VMEP.EF.EF01.RM127:OCC.UNOCC
VMEP.EF.EF01.RM131:OCC.UNOCC
VMEP.EF.EF01.Speed
VMEP.EF.EF01.SPEEDO
VMEP.EF.EF01.Start Stop
VMEP.EF.EF01.VFD:OK.FAULT
VMEP.EF.EF01.VFD:POWER
VMEP.EF.EF01.VFD:SEL HND.AUTO
VMEP.EF.EF02.Start Stop
VMEP.EF.EF03.Start Stop
VMEP.EF.EF03.STATUS
VMEP.EF.EF04.Start Stop
VMEP.EF.EF04.STATUS
VMEP.EF.EF05.Start Stop
VMEP.EF.EF06.Start Stop
VMEP.EF.EF07.Proof
VMEP.EF.EF07.VFD:OK.FAULT
VMEP.EF.EF07.VFD:POWER
VMEP.EF.EF07.VFD:SEL HND.AUTO
VMEP.HHW.AVGDAILYOAT
VMEP.HHW.Building Hot Water Flow
VMEP.HHW.Building Hot Water FlowSW
VMEP.HHW.Building Hot Water Return Temp
VMEP.HHW.Building Hot Water Supply Temp
VMEP.HHW.CONDALARM
VMEP.HHW.CONDDEMAND
VMEP.HHW.CONDMETER
VMEP.HHW.CONDUSAGE
VMEP.HHW.COOLINGDEGDAYS
VMEP.HHW.Enable
VMEP.HHW.End of Line Diff Pressure
VMEP.HHW.EOLDPO
VMEP.HHW.EOLDPS
VMEP.HHW.HCO
VMEP.HHW.HCO ENABLE
VMEP.HHW.HEATINGDEGDAYS
VMEP.HHW.HEX 1/3O
VMEP.HHW.HEX 2/3O
VMEP.HHW.HWSO
VMEP.HHW.HWSP
VMEP.HHW.OA DISABLESP
VMEP.HHW.OA ENABLE
VMEP.HHW.OA ENABLESP
VMEP.HHW.OA HIGH
VMEP.HHW.OA LOW
VMEP.HHW.Outside Air Temp
VMEP.HHW.PUMP.VFD:OK.FAULT
VMEP.HHW.PUMP.VFD:POWER
VMEP.HHW.PUMP.VFD:SEL HND.AUTO
VMEP.HHW.PUMP1
VMEP.HHW.PUMP1.Speed
VMEP.HHW.PUMP1.SPEEDO
VMEP.HHW.SP HIGH
VMEP.HHW.SP LOW
VMEP.HHW.VFD HIGH
VMEP.HHW.VFD LOW
VMEP.MEC01_AHU01.PWRLS
VMEP.MEC02_AHU02.PWRLS
VMEP.MEC03_EF01.PWRLS
VMEP.MEC04_CHW.PUMPWRLS
VMEP.MEC05_HHW.PUMPWRLS
VMEP.ZONE.AHU01.RM100B.Zone Air Temp
VMEP.ZONE.AHU01.RM100B.Zone Supply Air Flow
VMEP.ZONE.AHU01.RM100B:AUX TEMP
VMEP.ZONE.AHU01.RM100B:CTL STPT
VMEP.ZONE.AHU01.RM100B:DMPR COMD
VMEP.ZONE.AHU01.RM100B:OCC.UNOCC
VMEP.ZONE.AHU01.RM100B:VLV COMD
VMEP.ZONE.AHU01.RM111.Zone Air Temp
VMEP.ZONE.AHU01.RM111.Zone Supply Air Flow
VMEP.ZONE.AHU01.RM111:AUX TEMP
VMEP.ZONE.AHU01.RM111:CTL STPT
VMEP.ZONE.AHU01.RM111:DMPR COMD
VMEP.ZONE.AHU01.RM111:OCC.UNOCC
VMEP.ZONE.AHU01.RM111:VLV COMD
VMEP.ZONE.AHU01.RM113.Zone Air Temp
VMEP.ZONE.AHU01.RM113.Zone Supply Air Flow
VMEP.ZONE.AHU01.RM113:AUX TEMP
VMEP.ZONE.AHU01.RM113:CTL STPT
VMEP.ZONE.AHU01.RM113:DMPR COMD
VMEP.ZONE.AHU01.RM113:OCC.UNOCC
VMEP.ZONE.AHU01.RM113:VLV COMD
VMEP.ZONE.AHU01.RM115.Zone Air Temp
VMEP.ZONE.AHU01.RM115.Zone Supply Air Flow
VMEP.ZONE.AHU01.RM115:AUX TEMP
VMEP.ZONE.AHU01.RM115:CTL STPT
VMEP.ZONE.AHU01.RM115:DMPR COMD
VMEP.ZONE.AHU01.RM115:OCC.UNOCC
VMEP.ZONE.AHU01.RM115:VLV COMD
VMEP.ZONE.AHU01.RM118.OVR
VMEP.ZONE.AHU01.RM118.Zone Air Temp
VMEP.ZONE.AHU01.RM118.Zone Supply Air Flow
VMEP.ZONE.AHU01.RM118:AUX TEMP
VMEP.ZONE.AHU01.RM118:CTL STPT
VMEP.ZONE.AHU01.RM118:DMPR COMD
VMEP.ZONE.AHU01.RM118:OCC.UNOCC
VMEP.ZONE.AHU01.RM118:VLV COMD
VMEP.ZONE.AHU01.RM122.Zone Air Temp
VMEP.ZONE.AHU01.RM122.Zone Supply Air Flow
VMEP.ZONE.AHU01.RM122:AUX TEMP
VMEP.ZONE.AHU01.RM122:CTL STPT
VMEP.ZONE.AHU01.RM122:DMPR COMD
VMEP.ZONE.AHU01.RM122:OCC.UNOCC
VMEP.ZONE.AHU01.RM122:VLV COMD
VMEP.ZONE.AHU01.RM124.OVR
VMEP.ZONE.AHU01.RM124.Zone Air Temp
VMEP.ZONE.AHU01.RM124.Zone Supply Air Flow
VMEP.ZONE.AHU01.RM124:AUX TEMP
VMEP.ZONE.AHU01.RM124:CTL STPT
VMEP.ZONE.AHU01.RM124:DMPR COMD
VMEP.ZONE.AHU01.RM124:OCC.UNOCC
VMEP.ZONE.AHU01.RM124:VLV COMD
VMEP.ZONE.AHU01.RM125.Zone Air Temp
VMEP.ZONE.AHU01.RM125.Zone Supply Air Flow
VMEP.ZONE.AHU01.RM125:AUX TEMP
VMEP.ZONE.AHU01.RM125:CTL STPT
VMEP.ZONE.AHU01.RM125:DMPR COMD
VMEP.ZONE.AHU01.RM125:OCC.UNOCC
VMEP.ZONE.AHU01.RM125:VLV COMD
VMEP.ZONE.AHU01.RM127.Zone Air Temp
VMEP.ZONE.AHU01.RM127.Zone Supply Air Flow
VMEP.ZONE.AHU01.RM127:AUX TEMP
VMEP.ZONE.AHU01.RM127:CTL STPT
VMEP.ZONE.AHU01.RM127:DMPR COMD
VMEP.ZONE.AHU01.RM127:OCC.UNOCC
VMEP.ZONE.AHU01.RM127:VLV COMD
VMEP.ZONE.AHU01.RM131.Zone Air Temp
VMEP.ZONE.AHU01.RM131.Zone Supply Air Flow
VMEP.ZONE.AHU01.RM131:AUX TEMP
VMEP.ZONE.AHU01.RM131:CTL STPT
VMEP.ZONE.AHU01.RM131:OCC.UNOCC
VMEP.ZONE.AHU01.RM131:VLV COMD
VMEP.ZONE.AHU01.RM141.Zone Air Temp
VMEP.ZONE.AHU01.RM141.Zone Supply Air Flow
VMEP.ZONE.AHU01.RM141:AUX TEMP
VMEP.ZONE.AHU01.RM141:CTL STPT
VMEP.ZONE.AHU01.RM141:DMPR COMD
VMEP.ZONE.AHU01.RM141:OCC.UNOCC
VMEP.ZONE.AHU01.RM141:VLV COMD
VMEP.ZONE.AHU01.RM143.Zone Air Temp
VMEP.ZONE.AHU01.RM143.Zone Supply Air Flow
VMEP.ZONE.AHU01.RM143:AUX TEMP
VMEP.ZONE.AHU01.RM143:CTL STPT
VMEP.ZONE.AHU01.RM143:DMPR COMD
VMEP.ZONE.AHU01.RM143:OCC.UNOCC
VMEP.ZONE.AHU01.RM143:VLV COMD
VMEP.ZONE.AHU02.RM100A.Day Night
VMEP.ZONE.AHU02.RM100A.OVR
VMEP.ZONE.AHU02.RM100A.Zone Air Temp
VMEP.ZONE.AHU02.RM100A.Zone Supply Air Flow
VMEP.ZONE.AHU02.RM100A:AUX TEMP
VMEP.ZONE.AHU02.RM100A:CTL STPT
VMEP.ZONE.AHU02.RM100A:DMPR COMD
VMEP.ZONE.AHU02.RM101.Day Night
VMEP.ZONE.AHU02.RM101.OVR
VMEP.ZONE.AHU02.RM101.Zone Air Temp
VMEP.ZONE.AHU02.RM101.Zone Supply Air Flow
VMEP.ZONE.AHU02.RM101:AUX TEMP
VMEP.ZONE.AHU02.RM101:CTL STPT
VMEP.ZONE.AHU02.RM101:DMPR COMD
VMEP.ZONE.AHU02.RM102.Day Night
VMEP.ZONE.AHU02.RM102.OVR
VMEP.ZONE.AHU02.RM102.Zone Air Temp
VMEP.ZONE.AHU02.RM102.Zone Supply Air Flow
VMEP.ZONE.AHU02.RM102:AUX TEMP
VMEP.ZONE.AHU02.RM102:CTL STPT
VMEP.ZONE.AHU02.RM102:DMPR COMD
VMEP.ZONE.AHU02.RM103.Day Night
VMEP.ZONE.AHU02.RM103.OVR
VMEP.ZONE.AHU02.RM103.Zone Air Temp
VMEP.ZONE.AHU02.RM103.Zone Supply Air Flow
VMEP.ZONE.AHU02.RM103:AUX TEMP
VMEP.ZONE.AHU02.RM103:CTL STPT
VMEP.ZONE.AHU02.RM103:DMPR COMD
VMEP.ZONE.AHU02.RM105.Day Night
VMEP.ZONE.AHU02.RM105.OVR
VMEP.ZONE.AHU02.RM105.Zone Air Temp
VMEP.ZONE.AHU02.RM105.Zone Supply Air Flow
VMEP.ZONE.AHU02.RM105:AUX TEMP
VMEP.ZONE.AHU02.RM105:CTL STPT
VMEP.ZONE.AHU02.RM105:DMPR COMD
VMEP.ZONE.AHU02.RM107.Day Night
VMEP.ZONE.AHU02.RM107.OVR
VMEP.ZONE.AHU02.RM107.Zone Air Temp
VMEP.ZONE.AHU02.RM107.Zone Supply Air Flow
VMEP.ZONE.AHU02.RM107:AUX TEMP
VMEP.ZONE.AHU02.RM107:CTL STPT
VMEP.ZONE.AHU02.RM107:DMPR COMD
