TUPP.1HENE.FAN SPEED
TUPP.1HENE.Fan.Status
TUPP.1HENW.FAN SPEED
TUPP.1HENW.Fan.Status
TUPP.1HESE.FAN SPEED
TUPP.1HESE.Fan.Status
TUPP.1HESW.FAN SPEED
TUPP.1HESW.Fan.Status
TUPP.1LENE.FAN SPEED
TUPP.1LENE.Fan.Status
TUPP.1LENW.FAN SPEED
TUPP.1LENW.Fan.Status
TUPP.1LESE.FAN SPEED
TUPP.1LESE.Fan.Status
TUPP.1LESW.FAN SPEED
TUPP.1LESW.Fan.Status
TUPP.1NE.CCO
TUPP.1NE.CCV
TUPP.1NE.EHS
TUPP.1NE.EPS
TUPP.1NE.Fan.Status
TUPP.1NE.HCO
TUPP.1NE.HCV
TUPP.1NE.MODE
TUPP.1NE.OCCSSS
TUPP.1SW17.Zone Air Temp
TUPP.1SW17:AUX TEMP
TUPP.1SW17:VLV 1 COMD
TUPP.1SW1:AUX TEMP
TUPP.1SW1:VLV 1 COMD
TUPP.1SW2.Zone Air Temp
TUPP.1SW2:AUX TEMP
TUPP.1SW2:VLV 1 COMD
TUPP.1SW3.Zone Air Temp
TUPP.1SW39.Zone Air Temp
TUPP.1SW39:DMPR COMD
TUPP.1SW3:AUX TEMP
TUPP.1SW3:VLV 1 COMD
TUPP.1SW4.Zone Air Temp
TUPP.1SW4:AUX TEMP
TUPP.1SW4:VLV 1 COMD
TUPP.1SW5.Zone Air Temp
TUPP.1SW5:AUX TEMP
TUPP.1SW5:VLV 1 COMD
TUPP.1SW6.Zone Air Temp
TUPP.1SW6:AUX TEMP
TUPP.1SW6:VLV 1 COMD
TUPP.1SW7.Zone Air Temp
TUPP.1SW7:AUX TEMP
TUPP.1SW7:VLV 1 COMD
TUPP.1SW8.Zone Air Temp
TUPP.1SW8:AUX TEMP
TUPP.1SW8:VLV 1 COMD
TUPP.1SW9.Zone Air Temp
TUPP.1SW9:AUX TEMP
TUPP.1SW9:VLV 1 COMD
TUPP.2FC1.Heat Cool
TUPP.2FC1.Zone Air Temp
TUPP.2FC1:AUX TEMP
TUPP.2FC1:CTL STPT
TUPP.2FC1:CTL TEMP
TUPP.2FC1:FAN
