ARTX.AHU.AHU01.AVGRMT
ARTX.ZONE.AHU01.RM107A:VLV1 POS
ARTX.ZONE.AHU01.RM107B.Day Night
ARTX.ZONE.AHU01.RM107B.Heat Cool
ARTX.ZONE.AHU01.RM107B.Zone Air Temp
ARTX.ZONE.AHU01.RM107B.Zone Supply Air Flow
ARTX.ZONE.AHU01.RM107B:AUX TEMP
ARTX.ZONE.AHU01.RM107B:CTL STPT
ARTX.ZONE.AHU01.RM107B:CTL TEMP
ARTX.ZONE.AHU01.RM107B:DMPR COMD
ARTX.ZONE.AHU01.RM107B:DMPR POS
ARTX.ZONE.AHU01.RM107B:FLOW
ARTX.ZONE.AHU01.RM107B:NGT OVRD
ARTX.ZONE.AHU01.RM107B:VLV1 COMD
ARTX.ZONE.AHU01.RM107B:VLV1 POS
ARTX.ZONE.AHU01.RM115.Day Night
ARTX.ZONE.AHU01.RM115.Heat Cool
ARTX.ZONE.AHU01.RM115.Zone Air Temp
ARTX.ZONE.AHU01.RM115.Zone Supply Air Flow
ARTX.ZONE.AHU01.RM115:AUX TEMP
ARTX.ZONE.AHU01.RM115:CTL STPT
ARTX.ZONE.AHU01.RM115:CTL TEMP
ARTX.ZONE.AHU01.RM115:DMPR COMD
ARTX.ZONE.AHU01.RM115:DMPR POS
ARTX.ZONE.AHU01.RM115:FLOW
ARTX.ZONE.AHU01.RM115:NGT OVRD
ARTX.ZONE.AHU01.RM115:VLV1 COMD
ARTX.ZONE.AHU01.RM115:VLV1 POS
ARTX.ZONE.AHU01.RM120.Day Night
ARTX.ZONE.AHU01.RM120.Heat Cool
ARTX.ZONE.AHU01.RM120.Zone Air Temp
ARTX.ZONE.AHU01.RM120.Zone Supply Air Flow
ARTX.ZONE.AHU01.RM120:AUX TEMP
ARTX.ZONE.AHU01.RM120:CTL STPT
ARTX.ZONE.AHU01.RM120:CTL TEMP
ARTX.ZONE.AHU01.RM120:DMPR COMD
ARTX.ZONE.AHU01.RM120:DMPR POS
ARTX.ZONE.AHU01.RM120:FLOW
ARTX.ZONE.AHU01.RM120:NGT OVRD
ARTX.ZONE.AHU01.RM120:VLV1 COMD
ARTX.ZONE.AHU01.RM120:VLV1 POS
ARTX.ZONE.AHU02.RM100.Day Night
ARTX.ZONE.AHU02.RM100.Heat Cool
ARTX.ZONE.AHU02.RM100.Zone Air Temp
ARTX.ZONE.AHU02.RM100.Zone Supply Air Flow
ARTX.ZONE.AHU02.RM100:AUX TEMP
ARTX.ZONE.AHU02.RM100:CTL STPT
ARTX.ZONE.AHU02.RM100:CTL TEMP
ARTX.ZONE.AHU02.RM100:DMPR COMD
ARTX.ZONE.AHU02.RM100:DMPR POS
ARTX.ZONE.AHU02.RM100:FLOW
ARTX.ZONE.AHU02.RM100:NGT OVRD
ARTX.ZONE.AHU02.RM100:VLV1 COMD
ARTX.ZONE.AHU02.RM100:VLV1 POS
ARTX.ZONE.AHU02.RM103.Day Night
ARTX.ZONE.AHU02.RM103.Heat Cool
ARTX.ZONE.AHU02.RM103.Zone Air Temp
ARTX.ZONE.AHU02.RM103.Zone Supply Air Flow
ARTX.ZONE.AHU02.RM103:AUX TEMP
ARTX.ZONE.AHU02.RM103:CTL STPT
ARTX.ZONE.AHU02.RM103:CTL TEMP
ARTX.ZONE.AHU02.RM103:DMPR COMD
ARTX.ZONE.AHU02.RM103:DMPR POS
ARTX.ZONE.AHU02.RM103:FLOW
ARTX.ZONE.AHU02.RM103:NGT OVRD
ARTX.ZONE.AHU02.RM103:VLV1 COMD
ARTX.ZONE.AHU02.RM103:VLV1 POS
ARTX.ZONE.AHU02.RM110.Day Night
ARTX.ZONE.AHU02.RM110.Heat Cool
ARTX.ZONE.AHU02.RM110.Zone Air Temp
ARTX.ZONE.AHU02.RM110.Zone Supply Air Flow
ARTX.ZONE.AHU02.RM110:AUX TEMP
ARTX.ZONE.AHU02.RM110:CTL STPT
ARTX.ZONE.AHU02.RM110:CTL TEMP
ARTX.ZONE.AHU02.RM110:DMPR COMD
ARTX.ZONE.AHU02.RM110:DMPR POS
ARTX.ZONE.AHU02.RM110:FLOW
ARTX.ZONE.AHU02.RM110:NGT OVRD
ARTX.ZONE.AHU02.RM110:VLV1 COMD
ARTX.ZONE.AHU02.RM110:VLV1 POS
ARTX.ZONE.AHU02.RM112.Day Night
ARTX.ZONE.AHU02.RM112.Heat Cool
ARTX.ZONE.AHU02.RM112.Zone Air Temp
ARTX.ZONE.AHU02.RM112.Zone Supply Air Flow
ARTX.ZONE.AHU02.RM112:AUX TEMP
ARTX.ZONE.AHU02.RM112:CTL STPT
ARTX.ZONE.AHU02.RM112:CTL TEMP
ARTX.ZONE.AHU02.RM112:DMPR COMD
ARTX.ZONE.AHU02.RM112:DMPR POS
ARTX.ZONE.AHU02.RM112:FLOW
ARTX.ZONE.AHU02.RM112:NGT OVRD
ARTX.ZONE.AHU02.RM112:VLV1 COMD
ARTX.ZONE.AHU02.RM112:VLV1 POS
