CURR.BATH151.EAD
CURR.FCU188:FAN
CURR.FCU188:VLV 1 COMD
CURR.FCU188:VLV 1 POS
CURR.FCU283.Heat Cool
CURR.FCU283.Zone Air Temp
CURR.FCU283:CTL STPT
CURR.FCU283:CTL TEMP
CURR.FCU283:FAN
CURR.FCU283:VLV 1 COMD
CURR.FCU283:VLV 1 POS
CURR.FCU286.Heat Cool
CURR.FCU286.Zone Air Temp
CURR.FCU286:CTL STPT
CURR.FCU286:CTL TEMP
CURR.FCU286:FAN
CURR.FCU286:VLV 1 COMD
CURR.FCU286:VLV 1 POS
CURR.FCU383.Heat Cool
CURR.FCU383.Zone Air Temp
CURR.FCU383:CTL STPT
CURR.FCU383:CTL TEMP
CURR.FCU383:FAN
CURR.FCU383:VLV 1 COMD
CURR.FCU383:VLV 1 POS
CURR.FCU386.Heat Cool
CURR.FCU386.Zone Air Temp
CURR.FCU386:CTL STPT
CURR.FCU386:CTL TEMP
CURR.FCU386:FAN
CURR.FCU386:VLV 1 COMD
CURR.FCU386:VLV 1 POS
CURR.FCU483.Heat Cool
CURR.FCU483.Zone Air Temp
CURR.FCU483:CTL STPT
CURR.FCU483:CTL TEMP
CURR.FCU483:FAN
CURR.FCU483:VLV 1 COMD
CURR.FCU483:VLV 1 POS
CURR.FCU486.Heat Cool
CURR.FCU486.Zone Air Temp
CURR.FCU486:CTL STPT
CURR.FCU486:CTL TEMP
CURR.FCU486:FAN
CURR.FCU486:VLV 1 COMD
CURR.FCU486:VLV 1 POS
CURR.HHW.BLDGDPOUT
CURR.HHW.BLDGVALVE
CURR.HHW.Building Diff Pressure
CURR.HHW.Building Diff Pressure Setpoint
CURR.HHW.DEMANDPCTREQUIRED
CURR.HHW.RETTEMP
CURR.HHW.SUPTEMP
CURR.MAU.CCO
CURR.MAU.CCOMAX
CURR.MAU.CHWVALVE
CURR.MAU.Cooling Enable
CURR.MAU.COOLINGSET
CURR.MAU.DUCTSTAT
CURR.MAU.DUCTSTATERR
CURR.MAU.DUCTSTATOUT
CURR.MAU.DUCTSTATSET
CURR.MAU.FILTER
CURR.MAU.FREEZE
CURR.MAU.FREEZEWARNING
CURR.MAU.HCO
CURR.MAU.HEATINGSET
CURR.MAU.HHWVALVE
CURR.MAU.HSP
CURR.MAU.LOTEMPDET
CURR.MAU.Outside Air Temp
CURR.MAU.PROOF
CURR.MAU.SF.SPEEDMIN
CURR.MAU.SMOKEDET
CURR.MAU.Speed
CURR.MAU.SPEEDO
CURR.MAU.Start Stop
CURR.MAU.Supply Air Temp Setpoint
CURR.MAU.SUPTEMP
CURR.MAU.SUPTEMPERR
CURR.MAU.SUPTEMPLL
CURR.MAU.SUPTEMPOUT
CURR.NATVENT.MINOFFTIME
CURR.NATVENT.MODE
CURR.NATVENT.OATCOLD
CURR.NATVENT.OATHI
CURR.NATVENT.OATLO
CURR.NATVENT.OATWARM
CURR.NATVENT.Outside Air Temp
CURR.NATVENTDPRS
CURR.NATVENTDPRS.MIN
CURR.NATVENTDPRS.OUT
CURR.NATVENTLK
CURR.NATVENTLK.STPT
CURR.Outside Air Temp
CURR.REF31.PROOF
CURR.REF31.Speed
CURR.REF31.Start Stop
CURR.REF32.PROOF
CURR.REF32.Speed
CURR.REF33.PROOF
CURR.REF33.Speed
CURR.REF34.PROOF
CURR.REF34.Speed
CURR.REF35.PROOF
CURR.REF35.Speed
CURR.REF36.PROOF
CURR.REF36.Speed
CURR.REF37.PROOF
CURR.REF37.Start Stop
CURR.REF38.PROOF
CURR.REF38.Start Stop
CURR.TAF31.PROOF
CURR.TAF31.Start Stop
CURR.TAF32.PROOF
CURR.TAF32.Start Stop
CURR.VFC011A.FRZ ALM
CURR.VFC011A.Heat Cool
CURR.VFC011A.Zone Air Temp
CURR.VFC011A:AUX TMP AI5
CURR.VFC011A:CLG AOV 3
CURR.VFC011A:CTL STPT
CURR.VFC011A:CTL TEMP
CURR.VFC011A:FAN AOV 1
CURR.VFC011A:FAN LO DO 6
CURR.VFC011A:FRZ ALM
CURR.VFC011A:HTG AOV 2
CURR.VFC011A:NATURAL VENT
CURR.VFC011A:NV OPT OUT
CURR.VFC011A:OCC.UNOCC
CURR.VFC011A:ON.OFF
CURR.VFC011B.FRZ ALM
CURR.VFC011B.Heat Cool
CURR.VFC011B.Zone Air Temp
CURR.VFC011B:AUX TMP AI5
CURR.VFC011B:CLG AOV 3
CURR.VFC011B:CTL STPT
CURR.VFC011B:CTL TEMP
CURR.VFC011B:FAN AOV 1
CURR.VFC011B:FAN LO DO 6
CURR.VFC011B:FRZ ALM
CURR.VFC011B:HTG AOV 2
CURR.VFC011B:NATURAL VENT
CURR.VFC011B:NV OPT OUT
CURR.VFC011B:OCC.UNOCC
CURR.VFC011B:ON.OFF
CURR.VFC013A.FRZ ALM
CURR.VFC013A.Heat Cool
CURR.VFC013A.Zone Air Temp
CURR.VFC013A:AUX TMP AI5
CURR.VFC013A:CLG AOV 3
CURR.VFC013A:CTL STPT
CURR.VFC013A:CTL TEMP
CURR.VFC013A:FAN AOV 1
CURR.VFC013A:FAN LO DO 6
CURR.VFC013A:FRZ ALM
CURR.VFC013A:HTG AOV 2
CURR.VFC013A:NATURAL VENT
CURR.VFC013A:NV OPT OUT
CURR.VFC013A:OCC.UNOCC
CURR.VFC013A:ON.OFF
CURR.VFC014.FRZ ALM
CURR.VFC014.Heat Cool
CURR.VFC014.Zone Air Temp
CURR.VFC014:AUX TMP AI5
CURR.VFC014:CLG AOV 3
CURR.VFC014:CTL STPT
CURR.VFC014:CTL TEMP
CURR.VFC014:FAN AOV 1
CURR.VFC014:FAN LO DO 6
CURR.VFC014:FRZ ALM
CURR.VFC014:HTG AOV 2
CURR.VFC014:NATURAL VENT
CURR.VFC014:NV OPT OUT
CURR.VFC014:OCC.UNOCC
CURR.VFC014:ON.OFF
CURR.VFC021A.FRZ ALM
CURR.VFC021A.Heat Cool
CURR.VFC021A.Zone Air Temp
CURR.VFC021A:AUX TMP AI5
CURR.VFC021A:CLG AOV 3
CURR.VFC021A:CTL STPT
CURR.VFC021A:CTL TEMP
CURR.VFC021A:FAN AOV 1
CURR.VFC021A:FAN LO DO 6
CURR.VFC021A:FRZ ALM
CURR.VFC021A:HTG AOV 2
CURR.VFC021A:NATURAL VENT
CURR.VFC021A:NV OPT OUT
CURR.VFC021A:OCC.UNOCC
CURR.VFC021A:ON.OFF
CURR.VFC021B.FRZ ALM
CURR.VFC021B.Heat Cool
CURR.VFC021B.Zone Air Temp
CURR.VFC021B:AUX TMP AI5
CURR.VFC021B:CLG AOV 3
CURR.VFC021B:CTL STPT
CURR.VFC021B:CTL TEMP
CURR.VFC021B:FAN AOV 1
CURR.VFC021B:FAN LO DO 6
CURR.VFC021B:FRZ ALM
CURR.VFC021B:HTG AOV 2
CURR.VFC021B:NATURAL VENT
CURR.VFC021B:NV OPT OUT
CURR.VFC021B:OCC.UNOCC
CURR.VFC021B:ON.OFF
CURR.VFC023A.FRZ ALM
CURR.VFC023A.Heat Cool
CURR.VFC023A.Zone Air Temp
CURR.VFC023A:AUX TMP AI5
CURR.VFC023A:CLG AOV 3
CURR.VFC023A:CTL STPT
CURR.VFC023A:CTL TEMP
CURR.VFC023A:FAN AOV 1
CURR.VFC023A:FAN LO DO 6
CURR.VFC023A:FRZ ALM
CURR.VFC023A:HTG AOV 2
CURR.VFC023A:NATURAL VENT
CURR.VFC023A:NV OPT OUT
CURR.VFC023A:OCC.UNOCC
CURR.VFC023A:ON.OFF
CURR.VFC023B.FRZ ALM
CURR.VFC023B.Heat Cool
CURR.VFC023B.Zone Air Temp
CURR.VFC023B:AUX TMP AI5
CURR.VFC023B:CLG AOV 3
CURR.VFC023B:CTL STPT
CURR.VFC023B:CTL TEMP
CURR.VFC023B:FAN AOV 1
CURR.VFC023B:FAN LO DO 6
CURR.VFC023B:FRZ ALM
CURR.VFC023B:HTG AOV 2
CURR.VFC023B:NATURAL VENT
CURR.VFC023B:NV OPT OUT
CURR.VFC023B:OCC.UNOCC
CURR.VFC023B:ON.OFF
CURR.VFC024A.FRZ ALM
CURR.VFC024A.Heat Cool
CURR.VFC024A.Zone Air Temp
CURR.VFC024A:AUX TMP AI5
CURR.VFC024A:CLG AOV 3
CURR.VFC024A:CTL STPT
CURR.VFC024A:CTL TEMP
CURR.VFC024A:FAN AOV 1
CURR.VFC024A:FAN LO DO 6
CURR.VFC024A:FRZ ALM
CURR.VFC024A:HTG AOV 2
CURR.VFC024A:NATURAL VENT
CURR.VFC024A:NV OPT OUT
CURR.VFC024A:OCC.UNOCC
CURR.VFC024A:ON.OFF
CURR.VFC031A.FRZ ALM
CURR.VFC031A.Heat Cool
CURR.VFC031A.Zone Air Temp
CURR.VFC031A:AUX TMP AI5
CURR.VFC031A:CLG AOV 3
CURR.VFC031A:CTL STPT
CURR.VFC031A:CTL TEMP
CURR.VFC031A:FAN AOV 1
CURR.VFC031A:FAN LO DO 6
CURR.VFC031A:FRZ ALM
CURR.VFC031A:HTG AOV 2
CURR.VFC031A:NATURAL VENT
CURR.VFC031A:NV OPT OUT
CURR.VFC031A:OCC.UNOCC
CURR.VFC031A:ON.OFF
CURR.VFC031B.FRZ ALM
CURR.VFC031B.Heat Cool
CURR.VFC031B.Zone Air Temp
CURR.VFC031B:AUX TMP AI5
CURR.VFC031B:CLG AOV 3
CURR.VFC031B:CTL STPT
CURR.VFC031B:CTL TEMP
CURR.VFC031B:FAN AOV 1
CURR.VFC031B:FAN LO DO 6
CURR.VFC031B:FRZ ALM
CURR.VFC031B:HTG AOV 2
CURR.VFC031B:NATURAL VENT
CURR.VFC031B:NV OPT OUT
CURR.VFC031B:OCC.UNOCC
CURR.VFC031B:ON.OFF
CURR.VFC033A.FRZ ALM
CURR.VFC033A.Heat Cool
CURR.VFC033A.Zone Air Temp
CURR.VFC033A:AUX TMP AI5
CURR.VFC033A:CLG AOV 3
CURR.VFC033A:CTL STPT
CURR.VFC033A:CTL TEMP
CURR.VFC033A:FAN AOV 1
CURR.VFC033A:FAN LO DO 6
CURR.VFC033A:FRZ ALM
CURR.VFC033A:HTG AOV 2
CURR.VFC033A:NATURAL VENT
CURR.VFC033A:NV OPT OUT
CURR.VFC033A:OCC.UNOCC
CURR.VFC033A:ON.OFF
CURR.VFC033B.FRZ ALM
CURR.VFC033B.Heat Cool
CURR.VFC033B.Zone Air Temp
CURR.VFC033B:AUX TMP AI5
CURR.VFC033B:CLG AOV 3
CURR.VFC033B:CTL STPT
CURR.VFC033B:CTL TEMP
CURR.VFC033B:FAN AOV 1
CURR.VFC033B:FAN LO DO 6
CURR.VFC033B:FRZ ALM
CURR.VFC033B:HTG AOV 2
CURR.VFC033B:NATURAL VENT
CURR.VFC033B:NV OPT OUT
CURR.VFC033B:OCC.UNOCC
CURR.VFC033B:ON.OFF
CURR.VFC034A.FRZ ALM
CURR.VFC034A.Heat Cool
CURR.VFC034A.Zone Air Temp
CURR.VFC034A:AUX TMP AI5
CURR.VFC034A:CLG AOV 3
CURR.VFC034A:CTL STPT
CURR.VFC034A:CTL TEMP
CURR.VFC034A:FAN AOV 1
CURR.VFC034A:FAN LO DO 6
CURR.VFC034A:FRZ ALM
CURR.VFC034A:HTG AOV 2
CURR.VFC034A:NATURAL VENT
CURR.VFC034A:NV OPT OUT
CURR.VFC034A:OCC.UNOCC
CURR.VFC034A:ON.OFF
CURR.VFC041A.FRZ ALM
CURR.VFC041A.Heat Cool
CURR.VFC041A.Zone Air Temp
CURR.VFC041A:AUX TMP AI5
CURR.VFC041A:CLG AOV 3
CURR.VFC041A:CTL STPT
CURR.VFC041A:CTL TEMP
CURR.VFC041A:FAN AOV 1
CURR.VFC041A:FAN LO DO 6
CURR.VFC041A:FRZ ALM
CURR.VFC041A:HTG AOV 2
CURR.VFC041A:NATURAL VENT
CURR.VFC041A:NV OPT OUT
CURR.VFC041A:OCC.UNOCC
CURR.VFC041A:ON.OFF
CURR.VFC041B.FRZ ALM
CURR.VFC041B.Heat Cool
CURR.VFC041B.Zone Air Temp
CURR.VFC041B:AUX TMP AI5
CURR.VFC041B:CLG AOV 3
CURR.VFC041B:CTL STPT
CURR.VFC041B:CTL TEMP
CURR.VFC041B:FAN AOV 1
CURR.VFC041B:FAN LO DO 6
CURR.VFC041B:FRZ ALM
CURR.VFC041B:HTG AOV 2
CURR.VFC041B:NATURAL VENT
CURR.VFC041B:NV OPT OUT
CURR.VFC041B:OCC.UNOCC
CURR.VFC041B:ON.OFF
CURR.VFC043A.FRZ ALM
CURR.VFC043A.Heat Cool
CURR.VFC043A.Zone Air Temp
CURR.VFC043A:AUX TMP AI5
CURR.VFC043A:CLG AOV 3
CURR.VFC043A:CTL STPT
CURR.VFC043A:CTL TEMP
CURR.VFC043A:FAN AOV 1
CURR.VFC043A:FAN LO DO 6
CURR.VFC043A:FRZ ALM
CURR.VFC043A:HTG AOV 2
CURR.VFC043A:NATURAL VENT
CURR.VFC043A:NV OPT OUT
CURR.VFC043A:OCC.UNOCC
CURR.VFC043A:ON.OFF
CURR.VFC043B.FRZ ALM
CURR.VFC043B.Heat Cool
CURR.VFC043B.Zone Air Temp
CURR.VFC043B:AUX TMP AI5
CURR.VFC043B:CLG AOV 3
CURR.VFC043B:CTL STPT
CURR.VFC043B:CTL TEMP
CURR.VFC043B:FAN AOV 1
CURR.VFC043B:FAN LO DO 6
CURR.VFC043B:FRZ ALM
CURR.VFC043B:HTG AOV 2
CURR.VFC043B:NATURAL VENT
CURR.VFC043B:NV OPT OUT
CURR.VFC043B:OCC.UNOCC
CURR.VFC043B:ON.OFF
CURR.VFC044A.FRZ ALM
CURR.VFC044A.Heat Cool
CURR.VFC044A.Zone Air Temp
CURR.VFC044A:AUX TMP AI5
CURR.VFC044A:CLG AOV 3
CURR.VFC044A:CTL STPT
CURR.VFC044A:CTL TEMP
CURR.VFC044A:FAN AOV 1
CURR.VFC044A:FAN LO DO 6
CURR.VFC044A:FRZ ALM
CURR.VFC044A:HTG AOV 2
CURR.VFC044A:NATURAL VENT
CURR.VFC044A:NV OPT OUT
CURR.VFC044A:OCC.UNOCC
CURR.VFC044A:ON.OFF
CURR.VFC162.FRZ ALM
CURR.VFC162.Heat Cool
CURR.VFC162.Zone Air Temp
CURR.VFC162:AUX TMP AI5
CURR.VFC162:CLG AOV 3
CURR.VFC162:CTL STPT
CURR.VFC162:CTL TEMP
CURR.VFC162:FAN AOV 1
CURR.VFC162:FAN LO DO 6
CURR.VFC162:FRZ ALM
CURR.VFC162:HTG AOV 2
CURR.VFC162:NATURAL VENT
CURR.VFC162:NV OPT OUT
CURR.VFC162:OCC.UNOCC
CURR.VFC162:ON.OFF
CURR.VFC162:UNOCC OVRD
CURR.VFC163-1.FRZ ALM
CURR.VFC163-1.Heat Cool
CURR.VFC163-1.Zone Air Temp
CURR.VFC163-1:AUX TMP AI5
CURR.VFC163-1:CLG AOV 3
CURR.VFC163-1:CTL STPT
CURR.VFC163-1:CTL TEMP
CURR.VFC163-1:DI 2
CURR.VFC163-1:FAN AOV 1
CURR.VFC163-1:FAN LO DO 6
CURR.VFC163-1:FRZ ALM
CURR.VFC163-1:HTG AOV 2
CURR.VFC163-1:NATURAL VENT
CURR.VFC163-1:NV OPT OUT
CURR.VFC163-1:OCC.UNOCC
CURR.VFC163-1:ON.OFF
CURR.VFC163-1:PIR DI 3
CURR.VFC163-1:UNOCC OVRD
CURR.VFC163-2.FRZ ALM
CURR.VFC163-2.Heat Cool
CURR.VFC163-2.Zone Air Temp
CURR.VFC163-2:AUX TMP AI5
CURR.VFC163-2:CLG AOV 3
CURR.VFC163-2:CTL STPT
CURR.VFC163-2:CTL TEMP
CURR.VFC163-2:DI 2
CURR.VFC163-2:FAN AOV 1
CURR.VFC163-2:FAN LO DO 6
CURR.VFC163-2:FRZ ALM
CURR.VFC163-2:HTG AOV 2
CURR.VFC163-2:NATURAL VENT
CURR.VFC163-2:NV OPT OUT
CURR.VFC163-2:OCC.UNOCC
CURR.VFC163-2:ON.OFF
CURR.VFC163-2:PIR DI 3
CURR.VFC163-2:UNOCC OVRD
CURR.VFC164.FRZ ALM
CURR.VFC164.Heat Cool
CURR.VFC164.Zone Air Temp
CURR.VFC164:AUX TMP AI5
CURR.VFC164:CLG AOV 3
CURR.VFC164:CTL STPT
CURR.VFC164:DI 2
CURR.VFC164:FAN AOV 1
CURR.VFC164:FAN LO DO 6
CURR.VFC164:FRZ ALM
CURR.VFC164:HTG AOV 2
CURR.VFC164:NATURAL VENT
CURR.VFC164:NV OPT OUT
CURR.VFC164:OCC.UNOCC
CURR.VFC164:ON.OFF
CURR.VFC164:PIR DI 3
CURR.VFC164:UNOCC OVRD
CURR.VFC261.FRZ ALM
CURR.VFC261.Heat Cool
CURR.VFC261.Zone Air Temp
CURR.VFC261:AUX TMP AI5
CURR.VFC261:CLG AOV 3
CURR.VFC261:CTL STPT
CURR.VFC261:CTL TEMP
CURR.VFC261:DI 2
CURR.VFC261:FAN AOV 1
CURR.VFC261:FAN LO DO 6
CURR.VFC261:FRZ ALM
CURR.VFC261:HTG AOV 2
CURR.VFC261:NATURAL VENT
CURR.VFC261:NV OPT OUT
CURR.VFC261:OCC.UNOCC
CURR.VFC261:ON.OFF
CURR.VFC261:PIR DI 3
CURR.VFC261:UNOCC OVRD
CURR.VFC361.FRZ ALM
CURR.VFC361.Heat Cool
CURR.VFC361.Zone Air Temp
CURR.VFC361:AUX TMP AI5
CURR.VFC361:CLG AOV 3
CURR.VFC361:CTL STPT
CURR.VFC361:CTL TEMP
CURR.VFC361:DI 2
CURR.VFC361:FAN AOV 1
CURR.VFC361:FAN LO DO 6
CURR.VFC361:FRZ ALM
CURR.VFC361:HTG AOV 2
CURR.VFC361:NATURAL VENT
CURR.VFC361:NV OPT OUT
CURR.VFC361:OCC.UNOCC
CURR.VFC361:ON.OFF
CURR.VFC361:PIR DI 3
CURR.VFC361:UNOCC OVRD
CURR.VFC461.FRZ ALM
CURR.VFC461.Heat Cool
CURR.VFC461.Zone Air Temp
CURR.VFC461:AUX TMP AI5
CURR.VFC461:CLG AOV 3
CURR.VFC461:CTL STPT
CURR.VFC461:CTL TEMP
CURR.VFC461:DI 2
CURR.VFC461:FAN AOV 1
CURR.VFC461:FAN LO DO 6
CURR.VFC461:FRZ ALM
CURR.VFC461:HTG AOV 2
CURR.VFC461:NATURAL VENT
CURR.VFC461:NV OPT OUT
CURR.VFC461:OCC.UNOCC
CURR.VFC461:ON.OFF
CURR.VFC461:PIR DI 3
CURR.VFC461:UNOCC OVRD
