SPRL.1ST STAGE
SPRL.RM803:OCC COOL SP
SPRL.RM803:OCC HEAT SP
SPRL.RM803:PASSWORD
SPRL.RM803:SB COOL SP
SPRL.RM803:SB HEAT SP
SPRL.RM803:SB TIME
SPRL.RM803:SEQ OF OPS
SPRL.RM803:SYS MODE
SPRL.RM803:TEMP OC TIME
SPRL.RM803:UNC COOL SP
SPRL.RM803:UNC HEAT SP
SPRL.RM803:UNC TIME
SPRL.RM805.RM DEW POINT
SPRL.RM805.Zone Air Temp
SPRL.RM805:COOL DMD
SPRL.RM805:COOL SP LIM
SPRL.RM805:EFF OCC
SPRL.RM805:HEAT DMD
SPRL.RM805:HEAT SP LIM
SPRL.RM805:KEYPAD LOC
SPRL.RM805:OCC COMD
SPRL.RM805:OCC COOL SP
SPRL.RM805:OCC HEAT SP
SPRL.RM805:PASSWORD
SPRL.RM805:SB COOL SP
SPRL.RM805:SB HEAT SP
SPRL.RM805:SB TIME
SPRL.RM805:SEQ OF OPS
SPRL.RM805:SYS MODE
SPRL.RM805:TEMP OC TIME
SPRL.RM805:UNC COOL SP
SPRL.RM805:UNC HEAT SP
SPRL.RM805:UNC TIME
SPRL.RM807.Zone Air Temp
SPRL.RM807:COOL DMD
SPRL.RM807:COOL SP LIM
SPRL.RM807:EFF OCC
SPRL.RM807:HEAT DMD
SPRL.RM807:HEAT SP LIM
SPRL.RM807:KEYPAD LOC
SPRL.RM807:OCC COMD
SPRL.RM807:OCC COOL SP
SPRL.RM807:OCC HEAT SP
SPRL.RM807:PASSWORD
SPRL.RM807:SB COOL SP
SPRL.RM807:SB HEAT SP
SPRL.RM807:SB TIME
SPRL.RM807:SEQ OF OPS
SPRL.RM807:SYS MODE
SPRL.RM807:TEMP OC TIME
SPRL.RM807:UNC COOL SP
SPRL.RM807:UNC HEAT SP
SPRL.RM807:UNC TIME
SPRL.RM809.Zone Air Temp
SPRL.RM809:COOL DMD
SPRL.RM809:COOL SP LIM
SPRL.RM809:EFF OCC
SPRL.RM809:HEAT DMD
SPRL.RM809:HEAT SP LIM
SPRL.RM809:KEYPAD LOC
SPRL.RM809:OCC COMD
SPRL.RM809:OCC COOL SP
SPRL.RM809:OCC HEAT SP
SPRL.RM809:PASSWORD
SPRL.RM809:SB COOL SP
SPRL.RM809:SB HEAT SP
SPRL.RM809:SB TIME
SPRL.RM809:SEQ OF OPS
SPRL.RM809:SYS MODE
SPRL.RM809:TEMP OC TIME
SPRL.RM809:UNC COOL SP
SPRL.RM809:UNC HEAT SP
SPRL.RM809:UNC TIME
SPRL.RM907.Zone Air Temp
SPRL.RM907:COOL DMD
SPRL.RM907:COOL SP LIM
SPRL.RM907:EFF OCC
SPRL.RM907:HEAT DMD
SPRL.RM907:HEAT SP LIM
SPRL.RM907:KEYPAD LOC
SPRL.RM907:OCC COMD
SPRL.RM907:OCC COOL SP
SPRL.RM907:OCC HEAT SP
SPRL.RM907:PASSWORD
SPRL.RM907:SB COOL SP
SPRL.RM907:SB HEAT SP
SPRL.RM907:SB TIME
SPRL.RM907:SEQ OF OPS
SPRL.RM907:SYS MODE
SPRL.RM907:TEMP OC TIME
SPRL.RM907:UNC COOL SP
SPRL.RM907:UNC HEAT SP
SPRL.RM907:UNC TIME
SPRL.RM909.Zone Air Temp
SPRL.RM909:COOL DMD
SPRL.RM909:COOL SP LIM
SPRL.RM909:EFF OCC
SPRL.RM909:HEAT DMD
SPRL.RM909:HEAT SP LIM
SPRL.RM909:KEYPAD LOC
SPRL.RM909:OCC COMD
SPRL.RM909:OCC COOL SP
SPRL.RM909:OCC HEAT SP
SPRL.RM909:PASSWORD
SPRL.RM909:SB COOL SP
SPRL.RM909:SB HEAT SP
SPRL.RM909:SB TIME
SPRL.RM909:SEQ OF OPS
SPRL.RM909:SYS MODE
SPRL.RM909:TEMP OC TIME
SPRL.RM909:UNC COOL SP
SPRL.RM909:UNC HEAT SP
SPRL.RM909:UNC TIME
SPRL.RM911.Zone Air Temp
SPRL.RM911:COOL DMD
SPRL.RM911:COOL SP LIM
SPRL.RM911:EFF OCC
SPRL.RM911:HEAT DMD
SPRL.RM911:HEAT SP LIM
SPRL.RM911:KEYPAD LOC
SPRL.RM911:OCC COMD
SPRL.RM911:OCC COOL SP
SPRL.RM911:OCC HEAT SP
SPRL.RM911:PASSWORD
SPRL.RM911:SB COOL SP
SPRL.RM911:SB HEAT SP
SPRL.RM911:SB TIME
SPRL.RM911:SEQ OF OPS
SPRL.RM911:SYS MODE
SPRL.RM911:TEMP OC TIME
SPRL.RM911:UNC COOL SP
SPRL.RM911:UNC HEAT SP
SPRL.RM911:UNC TIME
SPRL.RM913.Zone Air Temp
SPRL.RM913:COOL DMD
SPRL.RM913:COOL SP LIM
SPRL.RM913:EFF OCC
SPRL.RM913:HEAT DMD
SPRL.RM913:HEAT SP LIM
SPRL.RM913:KEYPAD LOC
SPRL.RM913:OCC COMD
SPRL.RM913:OCC COOL SP
SPRL.RM913:OCC HEAT SP
SPRL.RM913:PASSWORD
SPRL.RM913:SB COOL SP
SPRL.RM913:SB HEAT SP
SPRL.RM913:SB TIME
SPRL.RM913:SEQ OF OPS
SPRL.RM913:SYS MODE
SPRL.RM913:TEMP OC TIME
SPRL.RM913:UNC COOL SP
SPRL.RM913:UNC HEAT SP
SPRL.RM913:UNC TIME
SPRL.SO.CHANGEOVER
SPRL.SO.CHHW.PUMP.Start Stop
SPRL.SO.CHW.XOVR
SPRL.SO.CLG.Enable
SPRL.SO.HHW.XOVR
SPRL.SO.HTG.Enable
SPRL.STANDBY PUMP.Start Stop
SPRL.STEAM.PRESS
SPRL.XTWR.1ST.Zone Air Temp
SPRL.XTWR.2ND.Zone Air Temp
SPRL.XTWR.3RD.Zone Air Temp
SPRL.XTWR.4TH.Zone Air Temp
SPRL.XTWR.5TH.Zone Air Temp
SPRL.XTWR.6TH.Zone Air Temp
SPRL.XTWR.7TH.Zone Air Temp
SPRL.XTWR.8TH.Zone Air Temp
SPRL.XTWR.9TH.Zone Air Temp
SPRL.XTWR.CHHW.PUMP.Start Stop
SPRL.XTWR.CHHW.PUMP.XOVR
SPRL.XTWR.FLOWSW
