Pit,Collector number,Species,Sex,Age,Total length (mm),Tail (mm),Hind foot (mm),Ear (mm),Weight (g),Embryos,Testis weight (mg),SV weight (mg),Fight Wounds,Notes,Person taking Measurements,
L8,MWN 2311,Mus musculus,male,a,109+,23+,17,12,17,,78,52,,,DNM,
L8,MWN 2312,Mus musculus,female,a,160+,72+,18,12,31,"4R 2L, 19 mm",,,,,DNM,
L8,MWN 2313,Mus musculus,male,a,142+,60+,17,11,17,,47,12,,,DNM,
L8,MWN 2314,Mus musculus,female,a,133+,48+,18,12,17,PAR,,,,,DNM,
L8,MWN 2315,Mus musculus,male,a,175+,49+,18,12,19,,82,56,+,,DNM,
L8,MWN 2316,Mus musculus,female,a,151+,62+,17,12,26,PAR,,,,light belly,DNM,
L8,MWN 2317,Mus musculus,male,a,147+,64+,18,12,17,,67,10,,,DNM,
L8,MWN 2318,Mus musculus,female,a,142+,62+,17,12,18,PAR,,,,light belly; swollen right foot,DNM,
L8,MWN 2319,Mus musculus,male,a,145+,61+,18,12,20,,72,21,,,DNM,
L8,MWN 2320,Mus musculus,female,a,137+,49+,17,13,29,"5R 1L, 18 mm",,,,light belly,DNM,
L8,MWN 2321,Mus musculus,male,a,126+,45+,18,11,18,,60,17,,,DNM,
L8,MWN 2322,Mus musculus,female,a,160+,67+,18,13,29,"5R 3L, 11 mm",,,,,DNM,
L8,MWN 2323,Mus musculus,male,a,147+,61+,18,13,16,,76,37,,,DNM,
L8,MWN 2324,Mus musculus,female,a,134+,49+,18,12,19,NULL,,,,,DNM,
L8,MWN 2325,Mus musculus,female,a,142+,44+,17,13,25,PAR,,,,,DNM,
L8,MWN 2326,Mus musculus,female,a,127+,40+,18,12,19,PAR,,,,,DNM,
L8,MWN 2327,Mus musculus,female,a,135+,49+,18,12,21,PAR,,,,,DNM,
L8,MWN 2328,Mus musculus,female,a,147+,59+,18,12,19,PAR,,,,,DNM,
L8,MWN 2329,Mus musculus,female,a,129+,48+,17,12,18,PAR,,,,,DNM,
L8,MWN 2330,Mus musculus,female,a,137+,50+,18,12,20,PAR,,,,,DNM,
L8,MWN 2331,Mus musculus,female,a,134+,51+,18,12,17,"2R 2L, 8 mm",,,,,DNM,
L8,MWN 2332,Mus musculus,female,a,146+,53+,19,12,22,PAR,,,,,DNM,
L8,MWN 2333,Mus musculus,female,a,132+,46+,17,12,19,PAR,,,,,DNM,
L8,MWN 2334,Mus musculus,female,a,151+,64+,17,13,26,"0R 4L, 9 mm",,,,light belly,DNM,
L8,MWN 2335,Mus musculus,male,a,135+,52+,18,13,19,,88,41,,,DNM,
L8,MWN 2336,Mus musculus,female,a,160+,69+,17,13,26,"4R 3L, 6 mm",,,,,DNM,
L8,MWN 2337,Mus musculus,male,a,122+,39+,18,12,20,,66,25,,,DNM,
L8,MWN 2338,Mus musculus,female,a,156+,73+,17,12,22,PAR,,,,light belly,DNM,
L8,MWN 2339,Mus musculus,male,a,142+,60+,18,12,19,,72,12,,,DNM,
L8,MWN 2340,Mus musculus,female,a,127+,40+,17,13,20,PAR,,,,,DNM,
L8,MWN 2341,Mus musculus,male,a,149+,61+,19,13,18,,71,23,,,DNM,
L8,MWN 2342,Mus musculus,female,a,140+,60+,18,13,16,PAR,,,,,DNM,
L8,MWN 2343,Mus musculus,male,a,147+,63+,18,13,18,,62,26,,,DNM,
L8,MWN 2344,Mus musculus,female,a,121+,47+,18,12,14,PAR,,,,,DNM,
L8,MWN 2345,Mus musculus,male,a,124+,43+,18,12,18,,57,17,,light belly,DNM,
L8,MWN 2346,Mus musculus,female,a,158+,70+,17,13,21,PAR,,,,,DNM,
L8,MWN 2347,Mus musculus,male,a,143+,54+,19,12,18,,71,46,+,,DNM,
L8,MWN 2348,Mus musculus,female,a,149+,59+,18,12,24,"3R 2L, 17 mm",,,,,DNM,
L8,MWN 2349,Mus musculus,male,a,135+,51+,18,12,22,,40,44,+,light belly,DNM,
L8,MWN 2350,Mus musculus,female,a,127+,46+,17,12,20,"3R 3L, 7 mm",,,,light belly,DNM,
L8,MWN 2351,Mus musculus,male,a,135+,51+,18,12,18,,94,29,,,DNM,
L9,MWN 2352,Mus musculus,female,a,161+,70+,19,13,30,"4R 1L, 6 mm",,,,,DNM,
L8,MWN 2353,Mus musculus,male,a,157+,69+,19,13,21,,91,88,,,DNM,
L9,MWN 2354,Mus musculus,female,a,132+,43+,18,12,24,PAR,,,,,DNM,
L8,MWN 2355,Mus musculus,male,a,137+,57+,18,13,18,,57,1,,,DNM,
L9,MWN 2356,Mus musculus,female,a,137+,44+,17,13,26,"1R 3L, 3 mm",,,,,DNM,
L8,MWN 2357,Mus musculus,male,sa,128+,53+,18,12,16,,75,12,,,DNM,
L9,MWN 2358,Mus musculus,female,a,133+,42+,17,12,32,"2R 1L, 19 mm",,,,,DNM,
L9,MWN 2359,Mus musculus,male,a,133+,51+,18,12,13,,58,33,,"near death, wet, patchy",DNM,
L9,MWN 2360,Mus musculus,female,a,136+,57+,18,11,25,"2R 3L, 18 mm",,,,,DNM,
L9,MWN 2361,Mus musculus,male,a,151+,68+,18,12,17,,86,46,,,DNM,
L9,MWN 2362,Mus musculus,female,a,125+,49+,16,11,24,"4R 0L, 21 mm",,,,,DNM,
L9,MWN 2363,Mus musculus,male,a,140+,59+,19,13,18,,66,40,+,,DNM,
L9,MWN 2364,Mus musculus,female,a,130+,47+,18,12,28,"4R 2L, 21 mm",,,,,DNM,
L9,MWN 2365,Mus musculus,male,a,115+,40+,17,12,18,,70,27,,,DNM,
L9,MWN 2366,Mus musculus,female,a,145+,55+,18,13,35,"4R 2L, 16 mm",,,,,DNM,
L9,MWN 2367,Mus musculus,male,a,160,84,18,12,16,,36,10,+,"swollen feet; tail almost bitten off; white bladder; left testes - dark red, hard",DNM,
L9,MWN 2368,Mus musculus,female,a,133+,49+,17,13,27,"1R 5L, 15 mm",,,,,DNM,
L9,MWN 2369,Mus musculus,male,a,147+,59+,17,11,25,,67,41,,,DNM,
L9,MWN 2370,Mus musculus,female,a,150+,66+,19,12,22,PAR,,,,,DNM,
L9,MWN 2371,Mus musculus,male,a,133+,49+,17,12,16,,57,27,+,hind limb paralysis,DNM,
L9,MWN 2372,Mus musculus,female,a,166,86,18,13,18,NULL,,,,"swollen right, front paw",DNM,
L9,MWN 2373,Mus musculus,male,a,148+,69+,17,13,20,,58,36,,,DNM,
L9,MWN 2374,Mus musculus,female,a,132+,51+,18,12,23,"3R 1L, 13 mm",,,,,DNM,
L9,MWN 2375,Mus musculus,male,a,159+,74+,18,13,25,,94,40,,light belly,DNM,
L9,MWN 2376,Mus musculus,female,a,127+,44+,17,12,21,PAR,,,,,DNM,
L9,MWN 2377,Mus musculus,male,a,134+,58+,17,12,20,,58,23,,,DNM,
L9,MWN 2378,Mus musculus,female,a,134+,43+,17,12,25,PAR,,,,,DNM,
L9,MWN 2379,Mus musculus,male,a,161,79,18,11,21,,72,20,,,DNM,
L9,MWN 2380,Mus musculus,female,a,132+,51+,17,12,22,PAR,,,,,DNM,
L9,MWN 2381,Mus musculus,male,a,133+,52+,18,13,22,,72,31,,light belly,DNM,
L9,MWN 2382,Mus musculus,female,a,128+,48+,17,12,21,PAR,,,,,DNM,
L9,MWN 2383,Mus musculus,male,a,152+,67+,17,13,23,,72,35,,,DNM,
L9,MWN 2384,Mus musculus,female,a,151+,66+,18,13,22,PAR,,,,,DNM,
L9,MWN 2385,Mus musculus,male,a,136+,54+,18,13,23,,67,32,,,DNM,
L9,MWN 2386,Mus musculus,female,sa,130+,58+,17,12,19,"2R 3L, 5 mm",,,,,DNM,
L9,MWN 2387,Mus musculus,male,a,139+,57+,18,11,22,,42,51,,white patch on belly,DNM,
L9,MWN 2388,Mus musculus,female,a,135+,56+,18,13,21,PAR,,,,,DNM,
L9,MWN 2389,Mus musculus,male,a,130+,45+,17,12,24,,69,30,,pie bald; light belly,DNM,
L9,MWN 2390,Mus musculus,female,a,142+,54+,18,12,26,"3R 4L, 3 mm",,,,pie bald; large white patch on belly,DNM,
L9,MWN 2391,Mus musculus,male,a,137+,56+,18,13,22,,49,52,,,DNM,
L9,MWN 2392,Mus musculus,female,a,143+,55+,18,12,22,PAR,,,,,DNM,
L9,MWN 2393,Mus musculus,male,a,132+,58+,16,12,20,,68,33,,,DNM,
L9,MWN 2394,Mus musculus,female,a,145+,56+,17,13,25,PAR,,,,light belly,DNM,
L9,MWN 2395,Mus musculus,male,a,134+,54+,17,12,20,,55,21,,,DNM,
L9,MWN 2396,Mus musculus,female,a,143+,55+,17,13,21,PAR,,,,light belly,DNM,
L9,MWN 2397,Mus musculus,male,a,140+,57+,18,12,21,,52,33,,light belly,DNM,
L9,MWN 2398,Mus musculus,female,a,149+,67+,18,13,20,PAR,,,,,DNM,
L9,MWN 2399,Mus musculus,male,a,120+,44+,18,12,19,,63,37,,,DNM,
L9,MWN 2400,Mus musculus,female,a,133+,51+,17,12,19,PAR,,,,,DNM,
L9,MWN 2401,Mus musculus,male,a,149+,64+,19,13,24,,62,46,,,DNM,
L9,MWN 2402,Mus musculus,female,a,115+,28+,17,13,21,PAR,,,,,DNM,
L9,MWN 2403,Mus musculus,male,a,143+,64+,17,12,22,,70,33,,,DNM,
L9,MWN 2404,Mus musculus,female,a,132+,53+,16,12,17,PAR,,,,,DNM,
L9,MWN 2405,Mus musculus,male,a,125+,47+,17,11,19,,54,11,,,DNM,
L9,MWN 2406,Mus musculus,female,a,139+,60+,17,13,18,PAR,,,,,DNM,
L9,MWN 2407,Mus musculus,male,a,130+,55+,17,11,17,,60,27,,,DNM,
L9,MWN 2408,Mus musculus,female,a,143+,57+,18,13,23,PAR,,,,light belly,DNM,
L9,MWN 2409,Mus musculus,male,a,132+,57+,18,12,19,,79,36,,,DNM,
L9,MWN 2410,Mus musculus,female,a,119+,39+,17,12,27,"2R 3L, 21 mm",,,,,DNM,
L9,MWN 2411,Mus musculus,male,a,139+,61+,17,13,20,,59,28,,,DNM,
L9,MWN 2412,Mus musculus,female,a,145+,49+,18,13,24,PAR,,,,,DNM,
L9,MWN 2413,Mus musculus,male,a,115+,35+,17,12,17,,64,52,,,DNM,
L9,MWN 2414,Mus musculus,female,a,135+,55+,18,12,19,PAR,,,,,DNM,
L9,MWN 2415,Mus musculus,male,a,137+,52+,17,12,21,,84,21,,,DNM,
L9,MWN 2416,Mus musculus,female,a,180,86,19,13,30,"4R 0L, 8 mm",,,,,DNM,
L9,MWN 2417,Mus musculus,male,a,138+,49+,18,12,20,,79,46,,,DNM,
L9,MWN 2418,Mus musculus,female,a,156+,67+,18,12,29,"3R 1L, 23 mm",,,,,DNM,
L9,MWN 2419,Mus musculus,male,a,139+,55+,18,12,25,,68,141,,,DNM,
L9,MWN 2420,Mus musculus,female,a,157+,64+,17,12,31,"1R 2L, 7mm",,,,,DNM,
L9,MWN 2421,Mus musculus,male,a,151+,73+,17,12,22,,80,41,,,DNM,
L9,MWN 2422,Mus musculus,female,a,141+,51+,17,13,27,"4R 3L, 5mm",,,,Light patch on belly,DNM,
L9,MWN 2423,Mus musculus,male,a,124+,49+,18,12,21,,83,58,,,DNM,
L9,MWN 2424,Mus musculus,female,a,154+,72+,18,13,23,PAR,,,,,DNM,
L9,MWN 2425,Mus musculus,male,a,120+,43+,18,12,19,,50,27,,,DNM,
L9,MWN 2426,Mus musculus,female,a,165,85,18,13,23,"3R 3L, 3mm",,,,,DNM,
L9,MWN 2427,Mus musculus,male,a,126+,49+,17,12,20,,89,46,+,,DNM,
L10,MWN 2428,Mus musculus,female,a,149+,65+,18,13,23,"5R 2L, 9mm",,,,,DNM,
L9,MWN 2429,Mus musculus,male,a,132+,55+,18,12,16,,77,25,,,DNM,
L10,MWN 2430,Mus musculus,female,a,135+,59+,17,12,16,PAR,,,,,DNM,
L9,MWN 2431,Mus musculus,male,a,126+,42+,18,12,20,,61,54,,,DNM,
L10,MWN 2432,Mus musculus,female,a,134+,48+,18,12,27,"2R 2L, 5mm",,,,,DNM,
L9,MWN 2433,Mus musculus,male,a,132+,58+,18,13,16,,41,44,,,DNM,
L10,MWN 2434,Mus musculus,female,a,148+,67+,17,13,20,PAR,,,,Light Belly,DNM,
L10,MWN 2435,Mus musculus,male,a,151+,68+,18,12,21,,38,24,,,DNM,
L10,MWN 2436,Mus musculus,female,a,123+,50+,17,11,18,PAR,,,,,DNM,
L10,MWN 2437,Mus musculus,male,a,136+,58+,19,11,19,,53,13,,,DNM,
L10,MWN 2438,Mus musculus,female,a,151+,71+,18,13,19,NULL,,,,,DNM,
L10,MWN 2439,Mus musculus,male,a,137+,56+,19,12,21,,67,37,+,,DNM,
L10,MWN 2440,Mus musculus,female,a,126+,43+,17,12,23,"3R 3L, 8mm",,,,,DNM,
L10,MWN 2441,Mus musculus,male,a,146+,67+,18,11,18,,57,5,,,DNM,
L10,MWN 2442,Mus musculus,female,a,157+,71+,19,12,22,PAR,,,,,DNM,
L10,MWN 2443,Mus musculus,male,a,124+,47+,18,11,17,,62,55,,,DNM,
L10,MWN 2444,Mus musculus,female,sa,130+,58+,17,12,15,NULL,,,,missing front right paw ,DNM,
L10,MWN 2445,Mus musculus,male,a,141+,61+,18,12,19,,63,8,,,DNM,
L10,MWN 2446,Mus musculus,female,a,136+,57+,17,13,28,"2R 4L, 20mm",,,,,DNM,
L10,MWN 2447,Mus musculus,male,a,141+,62+,18,12,20,,36,27,,,DNM,
L10,MWN 2448,Mus musculus,female,a,147+,71+,18,13,25,"1R 3L, 22mm",,,,,DNM,
L10,MWN 2449,Mus musculus,male,a,130+,55+,18,12,18,,49,14,,"No normal sperm visible, few sperm with no heads",DNM,
L10,MWN 2450,Mus musculus,female,a,140+,59+,17,13,20,PAR,,,,,DNM,
L10,MWN 2451,Mus musculus,male,a,149+,72+,17,12,20,,64,13,,,DNM,
L10,MWN 2452,Mus musculus,female,a,133+,51+,16,12,20,PAR,,,,,DNM,
L10,MWN 2453,Mus musculus,male,a,137+,61+,13,12,18,,71,37,,,DNM,
L10,MWN 2454,Mus musculus,female,a,145+,58+,18,13,26,"2R 6L, 9mm",,,,,DNM,
L10,MWN 2455,Mus musculus,male,a,124+,42+,18,13,20,,41,41,,,DNM,
L10,MWN 2456,Mus musculus,female,a,140+,54+,19,13,21,"0R 1L, 17mm",,,,Gave birth to one pup in the kill jar,DNM,
L10,MWN 2457,Mus musculus,male,a,150+,74+,17,12,20,,77,43,,,DNM,
L10,MWN 2458,Mus musculus,female,a,128+,44+,19,12,26,"4R 4L, 9mm",,,,,DNM,
L10,MWN 2459,Mus musculus,male,a,124+,48+,17,12,19,,72,22,,,DNM,
L10,MWN 2460,Mus musculus,female,a,158+,68+,18,13,27,"4R 0L, 8mm",,,,,DNM,
L10,MWN 2461,Mus musculus,male,a,136+,60+,17,12,17,,67,16,,,DNM,
L10,MWN 2462,Mus musculus,female,a,145+,60+,17,11,24,"4R 3L, 7mm",,,,,DNM,
L10,MWN 2463,Mus musculus,male,a,149+,69+,18,13,20,,42,23,,,DNM,
L10,MWN 2464,Mus musculus,female,a,154+,71+,17,12,19,PAR,,,,,DNM,
L10,MWN 2465,Mus musculus,male,a,124+,48+,17,12,20,,51,19,,,DNM,
L10,MWN 2466,Mus musculus,female,a,149+,63+,18,13,21,PAR,,,,,DNM,
L10,MWN 2467,Mus musculus,male,a,140+,59+,18,13,20,,82,23,,,DNM,
L10,MWN 2468,Mus musculus,female,sa,140+,60+,18,12,18,NULL,,,,,DNM,
L10,MWN 2469,Mus musculus,male,a,145+,66+,18,11,18,,66,4,,,DNM,
L10,MWN 2470,Mus musculus,female,a,125+,46+,18,12,19,PAR,,,,,DNM,
L10,MWN 2471,Mus musculus,male,a,133+,52+,17,12,19,,67,21,,,DNM,
L10,MWN 2472,Mus musculus,female,a,132+,54+,17,13,20,PAR,,,,,DNM,
L10,MWN 2473,Mus musculus,male,a,145+,65+,17,12,20,,66,11,,,DNM,
L10,MWN 2474,Mus musculus,female,a,135+,42+,17,13,23,PAR,,,,,DNM,
L10,MWN 2475,Mus musculus,male,a,148+,61+,17,13,23,,79,63,,,MWN,
L10,MWN 2476,Mus musculus,female,a,150+,71+,17,13,22,"2R 4L, 2mm",,,,,DNM,
L10,MWN 2477,Mus musculus,male,a,125+,42+,17,13,19,,75,43,,,MWN,
L10,MWN 2478,Mus musculus,female,a,146+,58+,18,13,22,PAR,,,,,DNM,
L10,MWN 2479,Mus musculus,male,a,133+,50+,17,12,16,,74,8,,,MWN,
L10,MWN 2480,Mus musculus,female,a,129+,54+,19,12,20,"0R 3L, 5mm",,,,,DNM,
L10,MWN 2481,Mus musculus,male,a,138+,53+,17,13,18,,78,24,,,MWN,
L10,MWN 2482,Mus musculus,female,a,149+,65+,18,13,22,PAR,,,,light belly,DNM,
L10,MWN 2483,Mus musculus,male,a,135+,46+,18,13,19,,57,46,,,MWN,
L10,MWN 2484,Mus musculus,female,a,137+,63+,18,12,23,"2R 3L, 19mm",,,,,DNM,
L10,MWN 2485,Mus musculus,male,a,130+,50+,17,13,17,,66,48,,,MWN,
L10,MWN 2486,Mus musculus,female,a,120+,42+,18,12,21,PAR,,,,,DNM,
L10,MWN 2487,Mus musculus,male,a,149+,56+,18,13,25,,74,58,+,,MWN,
L10,MWN 2488,Mus musculus,female,a,130+,48+,18,13,19,PAR,,,,,DNM,
L10,MWN 2489,Mus musculus,female,a,126+,44+,18,12,24,"5R 2L, 15 mm",,,,,MWN,
L10,MWN 2490,Mus musculus,female,a,138+,51+,18,13,18,PAR,,,,,MWN,
L10,MWN 2491,Mus musculus,female,a,127+,45+,18,13,19,NULL,,,,,MWN,
L10,MWN 2492,Mus musculus,female,a,135+,51+,16,12,21,"2R 3L, 14 mm",,,,,MWN,
L10,MWN 2493,Mus musculus,male,sa,133+,53+,17,12,14,,78,13,,,MWN,
L10,MWN 2494,Mus musculus,female,a,167+,69+,18,14,26,PAR,,,,,MWN,
L10,MWN 2495,Mus musculus,female,a,134+,48+,17,12,19,PAR,,,,,MWN,
L10,MWN 2496,Mus musculus,female,a,165+,71+,18,12,23,PAR,,,,,MWN,
L10,MWN 2497,Mus musculus,female,a,128+,46+,17,13,18,PAR,,,,,MWN,
L10,MWN 2498,Mus musculus,female,a,158+,73+,17,13,19,PAR,,,,,MWN,
L10,MWN 2499,Mus musculus,female,a,136+,57+,17,12,16,NULL,,,,,MWN,
L10,MWN 2500,Mus musculus,female,a,118+,39+,17,13,16,PAR,,,,,MWN,
U1,MWN 2501,Mus musculus,male,a,155+,63+,18,12,24,,26,47,+,,MWN,
U1,MWN 2502,Mus musculus,female,a,130+,39+,17,13,25,"2R 0L, 19 mm",,,,,MWN,
U1,MWN 2503,Mus musculus,male,a,142+,51+,18,13,22,,45,50,,,MWN,
U1,MWN 2504,Mus musculus,female,a,152+,53+,18,13,26,PAR,,,,,MWN,
U1,MWN 2505,Mus musculus,male,a,140+,53+,17,12,22,,62,57,,,MWN,
U1,MWN 2506,Mus musculus,female,a,119+,29+,16,13,21,PAR,,,,,MWN,
U1,MWN 2507,Mus musculus,male,a,129+,41+,17,12,21,,53,58,,,MWN,
U1,MWN 2508,Mus musculus,female,a,184,86,18,13,24,PAR,,,,,MWN,
U1,MWN 2509,Mus musculus,male,a,145+,59+,16,12,20,,59,48,,,MWN,
U1,MWN 2510,Mus musculus,female,a,190,93,18,13,26,PAR,,,,,MWN,
U1,MWN 2511,Mus musculus,male,a,154+,65+,17,12,21,,85,72,,,MWN,
U1,MWN 2512,Mus musculus,female,a,125+,37+,17,13,20,PAR,,,,,MWN,
U1,MWN 2513,Mus musculus,male,a,135+,46+,17,13,21,,83,47,+,,MWN,
U1,MWN 2514,Mus musculus,female,a,157+,58+,17,13,26,PAR,,,,,MWN,
U1,MWN 2515,Mus musculus,male,a,145+,54+,18,12,22,,57,105,,,MWN,
U1,MWN 2516,Mus musculus,female,a,126+,38+,17,13,26,"2R 3L, 14 mm",,,,,MWN,
U1,MWN 2517,Mus musculus,male,a,150+,66+,17,13,19,,54,40,,,MWN,
U1,MWN 2518,Mus musculus,female,a,158+,61+,18,13,24,PAR,,,,,MWN,
U1,MWN 2519,Mus musculus,male,a,124+,38+,16,13,17,,52,24,+,,MWN,
U1,MWN 2520,Mus musculus,female,a,133+,42+,18,12,23,PAR,,,,,MWN,
U1,MWN 2521,Mus musculus,male,a,146+,61+,17,13,19,,72,50,+,,MWN,
U1,MWN 2522,Mus musculus,female,a,124+,38+,17,13,20,PAR,,,,,MWN,
U1,MWN 2523,Mus musculus,male,a,129+,51+,16,13,18,,55,81,+,,MWN,
U1,MWN 2524,Mus musculus,female,a,134+,53+,17,13,16,NULL,,,,,MWN,
U1,MWN 2525,Mus musculus,male,a,136+,44+,17,13,19,,70,59,+,,DNM,
U1,MWN 2526,Mus musculus,female,a,137+,44+,17,13,20,"2R 3L, 3 mm",,,,,DNM,
U1,MWN 2527,Mus musculus,male,a,121+,40+,16,12,15,,81,52,,,DNM,
U1,MWN 2528,Mus musculus,female,a,173,90,17,12,18,PAR,,,,,DNM,
U1,MWN 2529,Mus musculus,male,a,155+,67+,17,12,21,,71,50,++++,,MWN,
U1,MWN 2530,Mus musculus,female,a,167+,83+,17,13,18,PAR,,,,,MWN,
U1,MWN 2531,Mus musculus,male,a,139+,47+,18,12,21,,63,59,++,,MWN,
U1,MWN 2532,Mus musculus,female,a,143+,50+,18,13,24,"0R 1L, 20 mm",,,,,MWN,
U1,MWN 2533,Mus musculus,male,a,138+,52+,17,12,18,,61,43,+,,MWN,
U1,MWN 2534,Mus musculus,female,a,135+,44+,17,13,18,NULL,,,+,,MWN,
U1,MWN 2535,Mus musculus,male,a,126+,35+,17,13,20,,36,62,++,abnormal sperm; one testes,MWN,
U1,MWN 2536,Mus musculus,female,a,156+,68+,17,13,17,PAR,,,,,MWN,
U1,MWN 2537,Mus musculus,male,a,150+,60+,17,12,20,,54,64,+,,MWN,
U1,MWN 2538,Mus musculus,female,a,122+,36+,16,12,18,"2R 1L, 6 mm",,,,,MWN,
U1,MWN 2539,Mus musculus,male,a,117+,25+,17,12,17,,43,46,+,,MWN,
U1,MWN 2540,Mus musculus,female,a,167+,74+,17,13,22,"3R 4L, 5 mm",,,,,MWN,
U1,MWN 2541,Mus musculus,male,a,120+,38+,17,12,16,,63,56,+,,MWN,
U1,MWN 2542,Mus musculus,female,a,130+,40+,17,13,24,"1R 2L, 15 mm",,,,WSB,MWN,
U1,MWN 2543,Mus musculus,male,a,133+,48+,17,12,20,,33,35,,few sperm visible; lots of abdominal fat,MWN,
U1,MWN 2544,Mus musculus,female,a,147+,60+,17,13,17,"2R 4L, 3 mm",,,,,MWN,
U1,MWN 2545,Mus musculus,male,a,128+,43+,18,13,20,,61,46,+,,MWN,
U1,MWN 2546,Mus musculus,female,a,137+,56+,17,13,16,NULL,,,,light belly,MWN,
U1,MWN 2547,Mus musculus,male,a,132+,48+,17,12,19,,105,85,+,light belly,MWN,
U1,MWN 2548,Mus musculus,female,a,170+,68+,19,14,25,PAR,,,,,MWN,
U1,MWN 2549,Mus musculus,male,a,120+,38+,17,12,15,,76,57,+,,MWN,
U1,MWN 2550,Mus musculus,female,a,182+,83+,18,13,22,PAR,,,,,MWN,
U1,MWN 2551,Mus musculus,male,a,142+,56+,17,13,19,,80,64,,,MWN,
U1,MWN 2552,Mus musculus,female,a,130+,37+,17,13,23,PAR,,,,,MWN,
U1,MWN 2553,Mus musculus,male,a,132+,43+,18,13,23,,68,72,+++,one testes,MWN,
U1,MWN 2554,Mus musculus,female,a,110+,21+,17,12,20,"0R 1L, 16 mm",,,,,MWN,
U1,MWN 2555,Mus musculus,male,a,145+,58+,18,12,20,,50,73,++,,MWN,
U1,MWN 2556,Mus musculus,female,a,145+,49+,17,13,26,PAR,,,,,MWN,
U1,MWN 2557,Mus musculus,male,a,144+,58+,16,12,20,,51,44,,,MWN,
U1,MWN 2558,Mus musculus,female,a,144+,49+,19,13,23,PAR,,,,,MWN,
U1,MWN 2559,Mus musculus,male,a,127+,39+,17,12,22,,56,78,,,MWN,
U1,MWN 2560,Mus musculus,female,a,126+,32+,17,13,23,PAR,,,,,MWN,
U1,MWN 2561,Mus musculus,male,a,160+,74+,17,12,21,,54,45,+,,MWN,
U1,MWN 2562,Mus musculus,female,a,141+,48+,17,13,22,PAR,,,,,MWN,
U1,MWN 2563,Mus musculus,male,a,135+,52+,17,13,20,,78,33,+++,,MWN,
U1,MWN 2564,Mus musculus,female,a,175+,80+,17,13,21,unclear,,,,"multiple internal growths, cists?, tumors?",MWN,
U1,MWN 2565,Mus musculus,male,a,161+,72+,18,12,22,,49,53,,,MWN,
U1,MWN 2566,Mus musculus,female,a,146+,59+,17,13,22,PAR,,,,,DNM,
U1,MWN 2567,Mus musculus,male,a,122+,34+,17,12,21,,75,45,,,MWN,
U1,MWN 2568,Mus musculus,female,a,166+,72+,19,13,26,"1R 0L, 5 mm",,,,,DNM,
U1,MWN 2569,Mus musculus,male,a,120+,35+,17,12,20,,33,36,+++,few sperm visible,MWN,
U1,MWN 2570,Mus musculus,female,a,157+,68+,17,12,21,"3R 2L, 2 mm",,,,,DNM,
U1,MWN 2571,Mus musculus,male,a,119+,36+,17,13,19,,77,44,,,MWN,
U1,MWN 2572,Mus musculus,female,a,153+,63+,18,12,23,PAR,,,,,DNM,
U1,MWN 2573,Mus musculus,male,a,115+,34+,17,12,18,,50,43,,,MWN,
U1,MWN 2574,Mus musculus,female,a,123+,32+,18,13,25,PAR,,,,,DNM,
U1,MWN 2575,Mus musculus,male,a,162+,69+,18,13,24,,53,56,+,,DNM,
U1,MWN 2576,Mus musculus,female,a,125+,36+,17,12,23,"1R 5L, 6 mm",,,,,DNM,
U1,MWN 2577,Mus musculus,male,a,125+,36+,17,13,22,,68,48,++,,DNM,
U1,MWN 2578,Mus musculus,female,a,147+,52+,18,12,24,"1R 0L, 9 mm",,,,,DNM,
U1,MWN 2579,Mus musculus,male,a,150+,59+,18,10+,24,,31,36,+++,frayed and damaged ears; few sperm visible,DNM,
U1,MWN 2580,Mus musculus,female,a,179,90,18,13,21,PAR,,,,,DNM,
U1,MWN 2581,Mus musculus,male,a,144+,57+,18,13,23,,66,39,+,,DNM,
U1,MWN 2582,Mus musculus,female,a,142+,45+,19,13,30,"2R 1L, 19 mm",,,,,DNM,
U1,MWN 2583,Mus musculus,male,a,134+,46+,18,12,21,,53,26,+,,DNM,
U1,MWN 2584,Mus musculus,female,a,173+,83+,17,12,21,"1R 0L, 3 mm",,,,,DNM,
U1,MWN 2585,Mus musculus,male,a,128+,42+,17,12,18,,88,41,,,DNM,
U1,MWN 2586,Mus musculus,female,a,149+,63+,17,12,20,PAR,,,,,DNM,
U1,MWN 2587,Mus musculus,male,a,136+,38+,18,12,28,,30,103,+,no sperm visible,DNM,
U1,MWN 2588,Mus musculus,female,a,145+,54+,17,12,18,PAR,,,,,DNM,
U1,MWN 2589,Mus musculus,male,a,148+,64+,17,12,19,,81,56,++,left testes extremely small,DNM,
U1,MWN 2590,Mus musculus,female,a,158+,54+,18,13,25,PAR,,,,,DNM,
U1,MWN 2591,Mus musculus,male,a,126+,41+,18,12,20,,46,38,++,,DNM,
U1,MWN 2592,Mus musculus,female,a,164+,65+,18,13,27,PAR,,,,light belly,DNM,
U1,MWN 2593,Mus musculus,male,a,125+,38+,17,12,20,,51,42,+++,,MWN,
U1,MWN 2594,Mus musculus,female,a,182+,87+,18,13,23,PAR,,,,,DNM,
U1,MWN 2595,Mus musculus,male,a,153+,61+,17,13,23,,46,51,++,,MWN,
U1,MWN 2596,Mus musculus,female,a,163+,68+,18,11,24,"5R 1L, 2 mm",,,,,DNM,
U1,MWN 2597,Mus musculus,male,a,161+,67+,17,14,20,,58,57,,,MWN,
