Pit,Collector number,Species,Sex,Age,Total length (mm),Tail (mm),Hind foot (mm),Ear (mm),Weight (g),Embryos,Testis weight (mg),SV weight (mg),Fight Wounds,Notes,Person taking Measurements,
L2,MWN 1849,Mus musculus,female,a,138+,47+,17,13,21,"2R 7L, 3 mm",,,,,MWN,
L2,MWN 1850,Mus musculus,male,a,131+,51+,17,13,19,,75,51,,,MWN,
L2,MWN 1851,Mus musculus,female,a,130+,46+,17,13,20,"2R 4L, 5 mm",,,,,MWN,
L2,MWN 1852,Mus musculus,male,a,129+,41+,18,13,23,,105,109,,,MWN,TOTAL:51
L2,MWN 1853,Mus musculus,female,a,153+,67+,18,13,17,"4R 5L, 2 mm",,,,,MWN,
L2,MWN 1854,Mus musculus,male,a,156+,68+,18,13,23,,35,69,,No sperm visible,MWN,
L2,MWN 1855,Mus musculus,female,a,139+,53+,18,13,18,PAR,,,,,MWN,
L2,MWN 1856,Mus musculus,male,a,133+,49+,17,13,20,,68,83,,,MWN,
L2,MWN 1857,Mus musculus,male,a,136+,48+,17,12,21,,47,97,,,MWN,
L2,MWN 1858,Mus musculus,male,a,132+,51+,18,13,14,,53,20,,,MWN,
L2,MWN 1859,Mus musculus,female,a,119+,50+,17,12,13,NULL,,,,,MWN,
L2,MWN 1860,Mus musculus,male,a,119+,42+,17,12,14,,76,55,,,MWN,
L2,MWN 1861,Mus musculus,female,a,156+,66+,17,13,21,PAR,,,,,MWN,
L2,MWN 1862,Mus musculus,male,a,126+,45+,17,13,14,,64,29,,,MWN,
L2,MWN 1863,Mus musculus,female,a,120+,40+,16,12,21,"2R 3L, 17 mm",,,,,MWN,
L2,MWN 1864,Mus musculus,male,a,145+,60+,18,13,18,,85,47,,,MWN,
L2,MWN 1865,Mus musculus,male,a,122+,42+,18,13,17,,68,28,,,MWN,
L2,MWN 1866,Mus musculus,male,a,130+,49+,17,13,17,,83,50,,,MWN,
L2,MWN 1867,Mus musculus,male,a,143+,58+,18,13,22,,86,66,+,,MWN,
L2,MWN 1868,Mus musculus,male,a,126+,34+,18,13,22,,79,70,,,MWN,
L2,MWN 1869,Mus musculus,male,a,119+,32+,17,13,19,,76,35,,,MWN,
L2,MWN 1870,Mus musculus,male,a,145,67,17,12,13,,52,11,,,MWN,
L2,MWN 1871,Mus musculus,female,a,132+,50+,18,14,20,PAR,,,,,MWN,
L2,MWN 1872,Mus musculus,female,a,126+,53+,16,12,17,"3R 1L, 14 mm",,,,,MWN,
L2,MWN 1873,Mus musculus,female,a,135+,55+,17,13,17,NULL,,,,,MWN,
L2,MWN 1874,Mus musculus,male,a,125+,40+,18,13,16,,59,36,,,MWN,
L2,MWN 1875,Mus musculus,female,a,138+,40+,18,13,19,NULL,,,,,MWN,
L3,MWN 1876,Mus musculus,female,a,141+,50+,17,13,26,"2R 4L, 15 mm",,,,,MWN,
L3,MWN 1877,Mus musculus,male,a,129+,49+,18,13,18,,94,35,,,MWN,
L3,MWN 1878,Mus musculus,male,sa,135+,58+,18,13,15,,35,1,,,MWN,
L3,MWN 1879,Mus musculus,female,a,140+,48+,17,13,23,PAR,,,,,MWN,
L3,MWN 1880,Mus musculus,female,a,138+,58+,17,13,21,"3R 2L, 20 mm",,,,,MWN,
L3,MWN 1881,Mus musculus,female,a,141+,49+,17,13,23,PAR,,,,,MWN,
L3,MWN 1882,Mus musculus,female,a,128+,43+,17,13,19,PAR,,,,,MWN,
L3,MWN 1883,Mus musculus,female,a,126+,38+,18,13,22,"1R 5L, 12 mm",,,,,MWN,
L2,MWN 1884,Mus musculus,female,a,124+,47+,17,13,16,NULL,,,,,DNM,
L2,MWN 1885,Mus musculus,female,sa,111+,45+,17,12,9,NULL,,,,,DNM,
L2,MWN 1886,Mus musculus,male,a,130+,56+,16,13,14,,69,24,,,DNM,
L3,MWN 1887,Mus musculus,male,a,124+,46+,17,12,15,,59,32,,,DNM,
L3,MWN 1888,Mus musculus,female,a,159+,70+,18,13,19,PAR,,,,,DNM,
L3,MWN 1889,Mus musculus,female,a,133+,44+,17,13,21,PAR,,,,,DNM,
L3,MWN 1890,Mus musculus,female,a,158+,71+,17,13,20,PAR,,,,,DNM,
